Iter	Fgutabs	k_a	k_e	V_dist	C_rest_1.1	C_rest_1.2	C_rest_1.3	C_rest_1.4	C_rest_1.5	C_rest_1.6	C_rest_1.7	C_rest_1.8	C_rest_1.9	C_rest_1.10	C_rest_1.11	C_rest_1.12	C_rest_1.13	C_rest_1.14	C_rest_1.15	C_rest_1.16	C_rest_1.17	C_rest_1.18	C_rest_1.19	C_rest_1.20	C_rest_1.21	C_rest_1.22	C_rest_1.23	C_rest_1.24	C_rest_1.25
0	0.891	0.7554	0.0988	30.1296	3.51735	8.59973	11.7851	13.6845	14.7162	15.1662	15.2298	15.0404	14.6888	14.2367	13.7259	13.1845	12.6314	12.0791	11.5356	11.0061	10.4938	10.0005	9.52699	9.07365	8.64032	8.22661	7.83198	7.45577	7.09729
1	0.987	0.7454	0.0932	28.9296	4.01197	9.84622	13.5428	15.7815	17.0299	17.6094	17.7411	17.5763	17.219	16.7401	16.1881	15.5958	14.9855	14.3719	13.7649	13.1708	12.5935	12.0356	11.4983	10.9821	10.4871	10.0131	9.55962	9.12602	8.71164
2	0.917	0.7354	0.0876	27.7296	3.844	9.46973	13.0728	15.288	16.5544	17.1752	17.3602	17.2539	16.9559	16.5349	16.0379	15.4971	14.9344	14.3646	13.7976	13.24	12.6959	12.1679	11.6576	11.1658	10.6926	10.2381	9.80193	9.38365	8.98274
3	0.821	0.7254	0.082	26.5296	3.55521	8.79147	12.181	14.2959	15.5336	16.1704	16.398	16.3497	16.1176	15.7656	15.3379	14.8648	14.3672	13.8593	13.3507	12.848	12.3552	11.8751	11.4094	10.9589	10.5241	10.1052	9.70189	9.314	8.94113
4	0.725	0.7154	0.0764	25.3296	3.24918	8.06517	11.2158	13.21	14.4033	15.0442	15.306	15.3097	15.1397	14.8546	14.4953	14.09	13.6585	13.2141	12.766	12.3206	11.8819	11.4527	11.0348	10.6291	10.2362	9.85643	9.48971	9.13593	8.79484
5	0.629	0.7054	0.0708	24.1296	2.92343	7.28408	10.1668	12.0172	13.1482	13.7794	14.0652	14.1137	14.0007	13.7793	13.4866	13.1487	12.7836	12.4037	12.0179	11.6319	11.2498	10.8743	10.5072	10.1496	9.80204	9.46497	9.13848	8.82254	8.51702
6	0.667	0.6954	0.0652	22.9296	3.22226	8.0591	11.2899	13.3923	14.7035	15.4614	15.8339	15.9394	15.8614	15.6586	15.3725	15.0321	14.6578	14.2638	13.8601	13.4535	13.0489	12.6493	12.2569	11.8733	11.4991	11.135	10.7812	10.4377	10.1046
7	0.763	0.6854	0.0596	21.7296	3.84109	9.64327	13.5589	16.1413	17.783	18.7628	19.278	19.4687	19.4343	19.245	18.9506	18.5864	18.1771	17.7402	17.2881	16.8292	16.3698	15.9137	15.4639	15.0223	14.59	14.1679	13.7563	13.3556	12.9657
8	0.859	0.6754	0.054	20.5296	4.5191	11.3885	16.0717	19.201	21.2275	22.4726	23.1656	23.47	23.5022	23.3451	23.0578	22.6823	22.2484	21.7772	21.2837	20.7786	20.2692	19.7607	19.2568	18.7598	18.2715	17.7929	17.3247	16.8674	16.421
9	0.955	0.6654	0.0484	20.6704	4.92556	12.4599	17.6485	21.1602	23.4747	24.9356	25.7893	26.2122	26.3308	26.2357	25.9916	25.6448	25.2286	24.7667	24.2757	23.7679	23.2517	22.7331	22.2163	21.7043	21.1991	20.7021	20.2142	19.736	19.2677
10	0.949	0.6554	0.0428	21.8704	4.56536	11.5926	16.4804	19.8304	22.076	23.5292	24.415	24.8953	25.0868	25.0734	24.9157	24.657	24.3287	23.9532	23.5466	23.1206	22.6833	22.2407	21.7969	21.3549	20.9169	20.4841	20.0577	19.6383	19.2263
11	0.853	0.6454	0.0372	23.0704	3.83816	9.78301	13.9592	16.8568	18.8309	20.1385	20.9656	21.447	21.6802	21.7358	21.6648	21.5042	21.2808	21.0138	20.7172	20.4011	20.0727	19.7372	19.3984	19.059	18.7209	18.3853	18.0534	17.7257	17.4026
12	0.757	0.6354	0.0316	24.2704	3.1938	8.17151	11.7027	14.1826	15.8987	17.0603	17.8197	18.2877	18.545	18.6502	18.646	18.5634	18.425	18.2473	18.0421	17.8181	17.5816	17.3372	17.0881	16.8367	16.5848	16.3336	16.0839	15.8364	15.5915
13	0.661	0.6254	0.026	25.4704	2.62063	6.73049	9.67455	11.7667	13.2364	14.2517	14.9353	15.3771	15.6428	15.7803	15.8249	15.8022	15.731	15.6251	15.4944	15.3463	15.1861	15.0178	14.8442	14.6673	14.4888	14.3096	14.1306	13.9524	13.7753
14	0.635	0.6154	0.0204	26.6704	2.37042	6.11099	8.8165	10.7615	12.148	13.1242	13.7993	14.2534	14.5456	14.7191	14.8058	14.8291	14.8062	14.7497	14.669	14.5708	14.4602	14.3408	14.2154	14.0859	13.9539	13.8203	13.6859	13.5513	13.417
15	0.731	0.6054	0.0252	27.8704	2.57041	6.6328	9.57492	11.6901	13.195	14.2498	14.9728	15.4512	15.7498	15.9161	15.9854	15.9837	15.9301	15.839	15.7207	15.583	15.4316	15.2706	15.1033	14.9318	14.7578	14.5826	14.4072	14.232	14.0577
16	0.827	0.5954	0.0308	29.0704	2.74326	7.08401	10.23	12.49	14.0933	15.2102	15.967	16.4575	16.7514	16.9004	16.9428	16.9071	16.8146	16.6807	16.5172	16.3326	16.1334	15.9243	15.7087	15.4893	15.2679	15.046	14.8245	14.6042	14.3857
17	0.923	0.5854	0.0364	30.2704	2.89241	7.47468	10.7983	13.1844	14.8725	16.0415	16.8247	17.3217	17.6065	17.7347	17.7475	17.6756	17.542	17.3639	17.1539	16.9215	16.6737	16.4159	16.1518	15.8844	15.6157	15.3474	15.0805	14.8159	14.5542
18	0.981	0.5754	0.042	31.4704	2.9079	7.52035	10.8687	13.2712	14.9667	16.1341	16.9076	17.3878	17.6502	17.7511	17.733	17.6276	17.4586	17.2438	16.9964	16.7265	16.4413	16.1465	15.846	15.5431	15.2398	14.9379	14.6386	14.3428	14.0509
19	0.885	0.5654	0.0476	32.6704	2.48432	6.42978	9.29647	11.3526	12.8001	13.7915	14.4412	14.8358	15.0403	15.1037	15.0629	14.9456	14.7727	14.5599	14.319	14.0587	13.7857	13.505	13.2201	12.9339	12.6483	12.3648	12.0846	11.8083	11.5366
20	0.789	0.5554	0.0532	33.8704	2.09965	5.43837	7.86653	9.60757	10.8307	11.664	12.2044	12.5253	12.6824	12.7175	12.6624	12.5412	12.372	12.1685	11.9408	11.6969	11.4426	11.1821	10.9188	10.6551	10.3928	10.1331	9.87708	9.62535	9.3784
21	0.693	0.5454	0.0588	35.0704	1.7499	4.53601	6.56432	8.01838	9.03787	9.72904	10.1727	10.4304	10.5487	10.5633	10.501	10.3823	10.2228	10.0342	9.82536	9.60304	9.37229	9.13689	8.89969	8.66279	8.42776	8.19573	7.96752	7.74372	7.52473
22	0.603	0.5354	0.0644	36.2704	1.44601	3.75124	5.43125	6.63553	7.4784	8.04721	8.40876	8.61404	8.70203	8.70246	8.63801	8.52598	8.37953	8.20866	8.02097	7.82222	7.61676	7.40785	7.19794	6.98884	6.78192	6.57814	6.3782	6.18261	5.99168
23	0.699	0.5254	0.07	37.4704	1.59305	4.136	5.99133	7.32135	8.25075	8.87529	9.2685	9.48682	9.57355	9.56187	9.47723	9.33906	9.16226	8.95817	8.73545	8.50066	8.25878	8.01355	7.76779	7.52358	7.28246	7.04556	6.81367	6.58734	6.36695
24	0.795	0.5154	0.0756	38.6704	1.72308	4.47722	6.48901	7.93143	8.93797	9.61168	10.032	10.2603	10.3437	10.3186	10.213	10.0483	9.84111	9.60398	9.34658	9.07627	8.79864	8.51789	8.23719	7.95889	7.68472	7.41594	7.15343	6.8978	6.64944
25	0.891	0.5054	0.0812	39.8704	1.83763	4.77879	6.92984	8.47252	9.54778	10.2649	10.7085	10.9442	11.0228	10.9834	10.8565	10.6654	10.4281	10.1585	9.86715	9.56221	9.24982	8.93467	8.62024	8.30917	8.00334	7.70416	7.41258	7.12926	6.85463
26	0.987	0.5046	0.0868	41.0704	1.97181	5.121	7.41552	9.05245	10.1846	10.9305	11.3819	11.61	11.6697	11.6036	11.4446	11.2178	10.9429	10.6347	10.3047	9.96158	9.61195	9.26079	8.91181	8.56777	8.23066	7.90189	7.58245	7.27297	6.97383
27	0.917	0.5146	0.0924	42.2704	1.81172	4.68726	6.76205	8.22447	9.21983	9.8602	10.232	10.4016	10.4203	10.3273	10.1529	9.92021	9.64679	9.34613	9.02845	8.70145	8.37093	8.04118	7.71539	7.39586	7.08422	6.78159	6.48872	6.20605	5.93381
28	0.821	0.5246	0.098	43.4704	1.60481	4.1361	5.94463	7.20377	8.04661	8.57521	8.8678	8.98428	8.97048	8.8614	8.68374	8.45781	8.19901	7.91896	7.62646	7.32807	7.02865	6.73178	6.44006	6.15532	5.87884	5.61146	5.3537	5.10582	4.86792
29	0.725	0.5346	0.1036	44.6704	1.40265	3.60129	5.15662	6.22599	6.92949	7.35873	7.58358	7.65721	7.62006	7.50282	7.32878	7.11551	6.87625	6.62094	6.35698	6.08986	5.82361	5.56114	5.30453	5.05522	4.81416	4.58195	4.35893	4.14522	3.94082
