""	"Fgutabs"	"k_a"	"k_e"	"V_dist"
1	0.891	0.7554	0.0988	30.1296
1	0.987	0.7454	0.0932	28.9296
1	0.917	0.7354	0.0876	27.7296
1	0.821	0.7254	0.082	26.5296
1	0.725	0.7154	0.0764	25.3296
1	0.629	0.7054	0.0708	24.1296
1	0.667	0.6954	0.0652	22.9296
1	0.763	0.6854	0.0596	21.7296
1	0.859	0.6754	0.054	20.5296
1	0.955	0.6654	0.0484	20.6704
1	0.949	0.6554	0.0428	21.8704
1	0.853	0.6454	0.0372	23.0704
1	0.757	0.6354	0.0316	24.2704
1	0.661	0.6254	0.026	25.4704
1	0.635	0.6154	0.0204	26.6704
1	0.731	0.6054	0.0252	27.8704
1	0.827	0.5954	0.0308	29.0704
1	0.923	0.5854	0.0364	30.2704
1	0.981	0.5754	0.042	31.4704
1	0.885	0.5654	0.0476	32.6704
1	0.789	0.5554	0.0532	33.8704
1	0.693	0.5454	0.0588	35.0704
1	0.603	0.5354	0.0644	36.2704
1	0.699	0.5254	0.07	37.4704
1	0.795	0.5154	0.0756	38.6704
1	0.891	0.5054	0.0812	39.8704
1	0.987	0.5046	0.0868	41.0704
1	0.917	0.5146	0.0924	42.2704
1	0.821	0.5246	0.098	43.4704
1	0.725	0.5346	0.1036	44.6704
1	0.629	0.5446	0.1092	45.8704
1	0.667	0.5546	0.1148	47.0704
1	0.763	0.5646	0.1204	48.2704
1	0.859	0.5746	0.126	49.4704
1	0.955	0.5846	0.1316	50.6704
1	0.949	0.5946	0.1372	51.8704
1	0.853	0.6046	0.1428	53.0704
1	0.757	0.6146	0.1484	54.2704
1	0.661	0.6246	0.154	55.4704
1	0.635	0.6346	0.1596	56.6704
1	0.731	0.6446	0.1652	57.8704
1	0.827	0.6546	0.1708	59.0704
1	0.923	0.6646	0.1764	59.7296
1	0.981	0.6746	0.182	58.5296
1	0.885	0.6846	0.1876	57.3296
1	0.789	0.6946	0.1932	56.1296
1	0.693	0.7046	0.1988	54.9296
1	0.603	0.7146	0.2044	53.7296
1	0.699	0.7246	0.21	52.5296
1	0.795	0.7346	0.2156	51.3296
1	0.891	0.7446	0.2212	50.1296
1	0.987	0.7546	0.2268	48.9296
1	0.917	0.7646	0.2324	47.7296
1	0.821	0.7746	0.238	46.5296
1	0.725	0.7846	0.2436	45.3296
1	0.629	0.7946	0.2492	44.1296
1	0.667	0.8046	0.2548	42.9296
1	0.763	0.8146	0.2604	41.7296
1	0.859	0.8246	0.266	40.5296
1	0.955	0.8346	0.2716	39.3296
1	0.949	0.8446	0.2772	38.1296
1	0.853	0.8546	0.2828	36.9296
1	0.757	0.8646	0.2884	35.7296
1	0.661	0.8746	0.294	34.5296
1	0.635	0.8846	0.2996	33.3296
1	0.731	0.8946	0.2948	32.1296
1	0.827	0.9046	0.2892	30.9296
1	0.923	0.9146	0.2836	29.7296
1	0.981	0.9246	0.278	28.5296
1	0.885	0.9346	0.2724	27.3296
1	0.789	0.9446	0.2668	26.1296
1	0.693	0.9546	0.2612	24.9296
1	0.603	0.9646	0.2556	23.7296
1	0.699	0.9746	0.25	22.5296
1	0.795	0.9846	0.2444	21.3296
1	0.891	0.9946	0.2388	20.1296
1	0.987	1.0046	0.2332	21.0704
1	0.917	1.0146	0.2276	22.2704
1	0.821	1.0246	0.222	23.4704
1	0.725	1.0346	0.2164	24.6704
1	0.629	1.0446	0.2108	25.8704
1	0.667	1.0546	0.2052	27.0704
1	0.763	1.0646	0.1996	28.2704
1	0.859	1.0746	0.194	29.4704
1	0.955	1.0846	0.1884	30.6704
1	0.949	1.0946	0.1828	31.8704
1	0.853	1.1046	0.1772	33.0704
1	0.757	1.1146	0.1716	34.2704
